"","X12.31.2017","Retail.Dealer","RITE.AID.OF.NEW.YORK..INC.","RITE.AID.STORE..4866","X9514","X63RD.DR","X","REGO.PARK","X11374","X212.791.5795","Queens","X.1","X.73.86273182","X40.7294619"
"4912","03/31/2018","market","MADISON PRODUCE CORP.","","1307","MADISON AVE","","NEW YORK",10128,"2128312696","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9557754,40.78499829
"4913","03/31/2018","market","SANO HALAL FOOD CORP","","3982","WHITE PLAINS RD","","BRONX",10466,"9175192108","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86029942,40.88807118
"4917","03/31/2018","market","LELE HIGHCLASS HEALTHY PRODUCTS USA INC.","","4113","KISSENA BLVD","","FLUSHING",11355,"6468788414","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.82911388,40.75826978
"4920","03/31/2018","market","LA CENTRAL, INC.","LA CENTRAL CARNICERIA","4010","5TH AVE","","BROOKLYN",11232,"347-248-1043","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00462725,40.65058758
"4929","03/31/2018","market","A & B DELI INC.","QUICK STOP DELI","251","AVENUE OF THE AMERICAS","","NEW YORK",10014,"2122433232","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 7, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00268075,40.72868458
"4931","03/31/2018","market","VERT FOODS CORP.","C-TOWN","7248","AUSTIN ST","","FOREST HILLS",11375,"7182618151","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.84123182,40.7186995
"4933","03/31/2018","market","XI ZHENG","NEW STAR STAR","3","CATHERINE ST","","NEW YORK",10038,"6465081436","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99741724,40.71384092
"4935","03/31/2018","market","2ND AVE FRESH FOOD CORNER INC","","1310","2ND AVE","","NEW YORK",10065,"9175146518","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95983439,40.76676923
"4940","03/31/2018","market","OJ FRUIT CORP.","","565","FLATBUSH AVE","","BROOKLYN",11225,"7189412266","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.96057995,40.65989671
"4947","03/31/2018","market","NA & SANG PRODUCE INC.","","6331","108TH ST","","FOREST HILLS",11375,"7188300681","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 7, 5.01 to 10 foot stands: 0",-73.85019782,40.73410962
"4948","03/31/2018","market","NEW HAPPINESS FRUITS & VEGETABLE INC","","9513","CHURCH AVE","","BROOKLYN",11212,"718-345-5810","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91613051,40.65527263
"4949","03/31/2018","market","5TH EVERGREEN SUPERMARKET, INC","","7802","5TH AVE","","BROOKLYN",11209,"317-518-0155","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 8, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.02361448,40.62712556
"4951","03/31/2018","market","NEW PARISIENNE 501 DELI & GROCERY INC","PARISIAN DELI","501","COLUMBUS AVE","","NEW YORK",10024,"2124968720","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.97301806,40.78531102
"4952","03/31/2018","market","LITTLE REYES LLC","","1488A","WESTCHESTER AVE","","BRONX",10472,"3477266279","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88061636,40.82845983
"4959","03/31/2018","market","L & V FLOWERS INC","Annis Florals","3102","30TH AVE","","ASTORIA",11102,"","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.92126435,40.76682618
"4969","03/31/2018","market","ALI SUPERMARKET INC.","","1860","WESTCHESTER AVE","","BRONX",10472,"9178222207","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86351613,40.83273085
"4972","03/31/2018","market","JACK'S GROCERY & DELI CORP.","","4307","NATIONAL ST","","CORONA",11368,"9172990800","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86376447,40.74674411
"4991","03/31/2018","market","GARCIA MARTE, RAFAEL LEONEL","LA GUADALUPE FRUITS & VEGETABLES","4807","5TH AVE","","BROOKLYN",11220,"7184382493","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00925749,40.64611331
"4992","03/31/2018","market","ELIOT CONVENIENCE INC","","8454","ELIOT AVE","","MIDDLE VILLAGE",11379,"3475271719","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.87356659,40.72766551
"4995","03/31/2018","market","1707 MEAT CORPORATION","","1707","UNIVERSITY AVE","","BRONX",10453,"7185835821","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91708947,40.8493379
"5010","03/31/2018","market","TYULPAN, INC","","8323","20TH AVE","","BROOKLYN",11214,"7183332430","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99663271,40.60615223
"5015","03/31/2018","market","86-02 MEAT & PRODUCE INC.","","8602","NORTHERN BLVD","","JACKSON HEIGHTS",11372,"7184573505","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 12, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88149346,40.75595862
"5025","03/31/2018","market","SUNG, YUNG CHIN","YUNG MARKET","2122","NOSTRAND AVE","","BROOKLYN",11210,"7184348518","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94775491,40.63355265
"5049","03/31/2018","market","KAREN DELI GROCERY CORP","","6116","5TH AVE","","BROOKLYN",11220,"917-771-6280","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.01693116,40.63875641
"5052","03/31/2018","market","301 WEST SIDE CORP","","301","AMSTERDAM AVE","","NEW YORK",10023,"218772253","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98056313,40.78005912
"5053","03/31/2018","market","251 sunshine deli grocery corp","","251","W 231ST ST","","BRONX",10463,"7185483439","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.90672706,40.87990318
"5060","03/31/2018","market","276 EAST FRUIT & GROCERY STORE CORPORATION","","276","E 198TH ST","","BRONX",10458,"7187337500","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88874051,40.86880691
"5065","03/31/2018","market","KHIMS ORGANIC INC.","","294","GRAHAM AVE","","BROOKLYN",11211,"7189631110","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94403902,40.71248516
"5078","03/31/2018","market","PREMIUM HALAL MEAT & FISH, INC","","1500","OLMSTEAD AVE","","BRONX",10462,"","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.8551501,40.83624486
"5087","03/31/2018","market","BAEZ, NEIDA A.","MARIAH GROCERY","5019","108TH ST","","CORONA",11368,"7185921157","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.85550492,40.74442296
"5089","03/31/2018","market","MENDOZA, OFELIA","MENDOZA FLOWERS AND GIFT SHOP","3924","108TH ST","","CORONA",11368,"929-328-8568","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.859056,40.75126454
"5093","03/31/2018","market","TRIPLE FOOD, CORP.","","3909","103RD ST","","CORONA",11368,"7187793444","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86300967,40.75050627
"5094","03/31/2018","market","MAHI GROCERY INC","","3719","73RD ST","","JACKSON HEIGHTS",11372,"662707860","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.89261567,40.74838304
"5105","03/31/2018","market","FRESH FOOD DELI & GROCERY CORP","","386","CANAL ST","","NEW YORK",10013,"3478669640","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 1, 5.01 to 10 foot stands: 0",-74.00473318,40.72140541
"5106","03/31/2018","market","DITMARS NATURAL CORP","","2256","31ST ST","","ASTORIA",11105,"7186262414","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91209481,40.77499887
"5126","03/31/2018","market","GLENOAKS DELI & GROCERY INC.","","25301","UNION TPKE","","GLEN OAKS",11004,"7183479432","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.71745615,40.74412861
"5128","03/31/2018","market","4011 DELI & GROCERY, INC.","","4011","5TH AVE","","BROOKLYN",11232,"718-972-1578","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00460924,40.6505766
"5130","03/31/2018","market","SPARKLING SUPERMARKET INC","","4122","MAIN ST","","FLUSHING",11355,"7188889665","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 12, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.8292129,40.75766059
"5135","03/31/2018","market","NATURE'S PUREST INC","KINGS MEAT","603","BRIGHTON BEACH AVE","","BROOKLYN",11235,"917-400-8870","Brooklyn","Product Category: Confectionery, Cigars, Cigarettes, or Tobacco, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.96130166,40.57764925
"5142","03/31/2018","market","GOBWA EXOTIC IMPORTS INC.","","1127","NOSTRAND AVE","","BROOKLYN",11225,"7188026101","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.950567,40.66022221
"5143","03/31/2018","market","Q & A FRUIT AND VEGETABLE MARKET LLC","","15","MARCUS GARVEY BLVD","","BROOKLYN",11206,"7184867058","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94131634,40.69939128
"5152","03/31/2018","market","LA SURENA GROCERY CORP","","2561","BRIGGS AVE","","BRONX",10458,"347-678-1158","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.89377112,40.86347047
"5154","03/31/2018","market","WE ARE GEORGIANS INC","GEORGIA KIZIKI","1871","86TH ST","","BROOKLYN",11214,"7189425886","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00091115,40.60621815
"5159","03/31/2018","market","LUCERO, OSCAR","LUCERO'S FLOWERSHOP","3209A","BAINBRIDGE AVE","","BRONX",10467,"7188825876","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-77.51958437,40.11238534
"5161","03/31/2018","market","LA MARKETA LATINA, CORP","","1560","SAINT NICHOLAS AVE","","NEW YORK",10040,"347-691-0138","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 4, 5.01 to 10 foot stands: 0",-73.93059622,40.85359013
"5162","03/31/2018","market","Alaziz Grocery and Halal Meat Inc","","4329","MAIN ST","","FLUSHING",11355,"7184143316","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.82623244,40.75172199
"5169","03/31/2018","market","A & D PRODUCE CORP.","","4401","NEW UTRECHT AVE","","BROOKLYN",11219,"718-484-7012","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9943213,40.6405032
"5180","03/31/2018","market","FELIO FOOD CORP","","1161","SUTTER AVE","","BROOKLYN",11208,"718-647-4004","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.87512789,40.67232992
"5189","03/31/2018","market","QUALITY FRUIT MART INC.","","1049","CONEY ISLAND AVE","","BROOKLYN",11230,"9174158043","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.96666711,40.63198143
"5192","03/31/2018","market","GARDEN OF EDEN GOURMET, INC","GARDEN OF EDEN","7","E 14TH ST","","NEW YORK",10003,"2122554200","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 10, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99324509,40.7358592
"5203","03/31/2018","market","124 MEAT FOOD CORP","ANTILLANA SUPERMARKET","124","W FORDHAM RD","","BRONX",10468,"7187585174","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 9, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.90650524,40.86277885
"5208","03/31/2018","market","EL HUERTO MINI MARKET CORP","","10315","ROOSEVELT AVE","","CORONA",11368,"6465955807","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 1, 5.01 to 10 foot stands: 0",-73.86248398,40.74990179
"5209","03/31/2018","market","BIG APPLE MEAT MARKET INC.","","529","9TH AVE","","NEW YORK",10018,"2125632555","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99383854,40.7567852
"5211","03/31/2018","market","1017 FRUIT & VEGETABLE CORP.","","1017","AVENUE OF THE AMERICAS","","NEW YORK",10018,"2127302345","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98605375,40.75218433
"5229","03/31/2018","market","PACIFIC SUPERMARKET INC.","","7501","BROADWAY","","ELMHURST",11373,"7185078181","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.89020845,40.74617125
"5230","03/31/2018","market","MAHARAJ MATAJI CORPORATION","MASPETH MINI MART","6928","GRAND AVE","","MASPETH",11378,"7183975633","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 4, 5.01 to 10 foot stands: 0",-73.89443691,40.72645139
"5232","03/31/2018","market","OM SAI UPPER EASTSIDE GROCERY INC","","1576","2ND AVE","","NEW YORK",10028,"7184138359","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95376008,40.77509174
"5237","03/31/2018","market","S & R STORE LTD.","","2002","BATH AVE","","BROOKLYN",11214,"718-372-2887","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00140444,40.60133515
"5240","03/31/2018","market","GOLDEN KEY 2, CORP.","","1067","BRIGHTON BEACH AVE","","BROOKLYN",11235,"718-648-8010","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 7, 5.01 to 10 foot stands: 0",-73.95757546,40.57820788
"5244","03/31/2018","market","5TH AVE. KINGS FRUIT & VEGETABLES CORP.","","6824","5TH AVE","","BROOKLYN",11220,"7182389696","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 6, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.02082466,40.6339469
"5248","03/31/2018","market","SOUTHSIDE GROCERY CORP","","163","S 4TH ST","","BROOKLYN",11211,"","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.96176142,40.71148234
"5251","03/31/2018","market","RAH, BYUNG HO","YOUNG'S WEST INDIAN FRUITS AND VEGETABLES MARKET","13410","GUY R BREWER BLVD","","JAMAICA",11434,"7185252883","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.77543738,40.67306235
"5257","03/31/2018","market","PRAMUKH DELI & GROCERY INC.","","195","9TH AVE","","NEW YORK",10011,"2129247249","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 9, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00188747,40.74573774
"5272","03/31/2018","market","DASHEN, INC.","","17","AVENUE F","","BROOKLYN",11218,"7186335999","Brooklyn","Product Category: Confectionery, Cigars, Cigarettes, or Tobacco, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.97837938,40.63308215
"5275","03/31/2018","market","EL PRINCIPE GROCERY CORP.","","1282","SAINT NICHOLAS AVE","","NEW YORK",10033,"646-339-8262","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.93691945,40.84493696
"5276","03/31/2018","market","FRUIT MERMAID CORP","","1527","MERMAID AVE","","BROOKLYN",11224,"3.47249E+11","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.98300894,40.57682833
"5281","03/31/2018","market","MT CARMEL FLORIST CORP.","","634","E 187TH ST","","BRONX",10458,"","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 1, 5.01 to 10 foot stands: 0",-73.8865368,40.85502911
"5288","03/31/2018","market","Eva's Garden Flowers Inc","","1506","1ST AVE","","NEW YORK",10075,"2127448710","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95288488,40.77205571
"5292","03/31/2018","market","LA GUADALUPANA FRUITS & VEGETABLES CORP","","154","DYCKMAN ST","","NEW YORK",10040,"6468910881","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.92585003,40.86330342
"5301","03/31/2018","market","GREAT VEGETABLE FARM, INC.","","1823","CHURCH AVE","","BROOKLYN",11226,"718-469-1548","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.96280595,40.64955511
"5306","03/31/2018","market","CASTILLO, MARIA","CASTILLO MINI- MALL","2111","3RD AVE","","NEW YORK",10029,"","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94027629,40.79757864
"5307","03/31/2018","market","RED APPLE TREE INC.","KEY FOOD","169","ATLANTIC AVE","","BROOKLYN",11201,"7186252253","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 16, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99405744,40.69016445
"5312","03/31/2018","market","WING FAT COMPANY INC.","","6012","8TH AVE","","BROOKLYN",11220,"7188033622","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00970997,40.63536194
"5313","03/31/2018","market","GREENBAY ORGANIC FOODS LLC","","3114","30TH AVE","","ASTORIA",11102,"","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 8, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9211958,40.76679319
"5314","03/31/2018","market","CENTRAL FRESH MART INC.","","21823","JAMAICA AVE","","QUEENS VILLAGE",11428,"6463000051","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.73650942,40.71804633
"5316","03/31/2018","market","FLAMING MEAT WAREHOUSE CORP.","BROTHER MEAT & MARKET","522","E 138TH ST","","BRONX",10454,"6463533188","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.91866258,40.80731194
"5317","03/31/2018","market","L & J GROCERY & DELI INC","","3119","CONEY ISLAND AVE","","BROOKLYN",11235,"","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95977757,40.57989947
"5326","03/31/2018","market","PACIFIC GREEN ON COURT, INC.","","151","COURT ST","","BROOKLYN",11201,"917-939-5644","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 4, 5.01 to 10 foot stands: 0",-73.9926224,40.68913782
"5330","03/31/2018","market","WING FAT COMPANY INC.","","4128","MAIN ST","","FLUSHING",11355,"","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.82907652,40.75735573
"5335","03/31/2018","market","NGP MARKETS CORP","NEW AGE MARKETS","16006","NORTHERN BLVD","","FLUSHING",11358,"7183580688","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 12, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.80535653,40.76282406
"5338","03/31/2018","market","359 DELI GROCERY LTD.","","359","GRAHAM AVE","","BROOKLYN",11211,"7189572186","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 7, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94452722,40.71533172
"5340","03/31/2018","market","SEMSEM FRUIT & GROCERY CORP","","1955","BATH AVE","","BROOKLYN",11214,"3474925697","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00211027,40.60176333
"5349","03/31/2018","market","VERO LUCKY 75 GROCERY & CONVENIENT CORP","","7515","ROOSEVELT AVE","","JACKSON HEIGHTS",11372,"3475863824","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.89026848,40.74697552
"5362","03/31/2018","market","KINGS VALLEY FRUIT, INC.","","1624","KINGS HWY","","BROOKLYN",11229,"917-957-0687","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 7, 5.01 to 10 foot stands: 0",-73.95710914,40.60925413
"5367","03/31/2018","market","104 CANDY CORP","","8691","104TH ST","","RICHMOND HILL",11418,"6462707632","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.84323254,40.69476511
"5374","03/31/2018","market","C.Y. ENTERPRISE, INC.","","514","HUDSON ST","","NEW YORK",10014,"2122908546","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00631807,40.73351795
"5379","03/31/2018","market","163 KING DELI INC.","","3240","3RD AVE","","BRONX",10451,"718-536-5058","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9088254,40.82384976
"5380","03/31/2018","market","RINAPHER INC.","COMPARE","4818","BROADWAY","","ASTORIA",11103,"7189560040","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91249178,40.75590674
"5389","03/31/2018","market","226 WEST 75 ST. INC.","","226","W 75TH ST","","NEW YORK",10023,"2128740383","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98175798,40.78120387
"5391","03/31/2018","market","90-47 CORONA MINI MARKET CORP","","9047","CORONA AVE","","ELMHURST",11373,"347-512-3674","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.8740948,40.74217761
"5398","03/31/2018","market","CARIB FOOD MARKET, INC.","","1305","FULTON ST","","BROOKLYN",11216,"718-398-2324","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94894767,40.68036542
"5406","03/31/2018","market","SANCHEZ FAMILY DELI GROCERY CORP.","","703","PROSPECT AVE","","BRONX",10455,"7189932543","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.90304097,40.81623942
